day,month,year,hour,minute,temp
21,2,2018,11,6,25.1464285714
21,2,2018,11,7,25.1569767442
21,2,2018,11,8,25.1583333333
21,2,2018,11,9,25.1535555556
21,2,2018,11,10,25.1634146341
21,2,2018,11,11,25.1602380952
21,2,2018,11,12,25.1417073171
21,2,2018,11,13,25.1465116279
21,2,2018,11,14,25.148
21,2,2018,11,15,25.1368181818
21,2,2018,11,16,25.1561904762
21,2,2018,11,17,25.1710416667
21,2,2018,11,18,25.1506666667
21,2,2018,11,19,25.1453333333
21,2,2018,11,20,25.11875
21,2,2018,11,21,25.181875
21,2,2018,11,22,25.1588372093
21,2,2018,11,23,25.1342222222
21,2,2018,11,24,25.1275555556
21,2,2018,11,25,25.1404347826
21,2,2018,11,26,25.1188888889
21,2,2018,11,27,25.1111111111
21,2,2018,11,28,25.0938636364
21,2,2018,11,29,25.1267391304
21,2,2018,11,30,25.1068888889
21,2,2018,11,31,25.1091111111
21,2,2018,11,32,25.1152272727
21,2,2018,11,33,25.1033333333
21,2,2018,11,34,25.1008888889
21,2,2018,11,35,25.0973333333
21,2,2018,11,36,25.143125
21,2,2018,11,37,25.0772093023
21,2,2018,11,38,25.1502040816
21,2,2018,11,39,25.087173913
21,2,2018,11,40,25.0788888889
21,2,2018,11,41,25.06925
21,2,2018,11,42,25.0971111111
21,2,2018,11,43,25.0911111111
21,2,2018,11,44,25.0581395349
21,2,2018,11,45,25.0862222222
21,2,2018,11,46,25.0677272727
21,2,2018,11,47,25.1223913043
21,2,2018,11,48,25.0675
21,2,2018,11,49,25.0477272727
21,2,2018,11,50,25.0855555556
21,2,2018,11,51,25.1113043478
21,2,2018,11,52,25.0889361702
21,2,2018,11,53,25.0857446809
21,2,2018,11,54,25.0823404255
21,2,2018,11,55,25.0333333333
21,2,2018,11,56,25.025
21,2,2018,11,57,25.0229545455
21,2,2018,11,58,25.0344444444
21,2,2018,11,59,25.0181818182
21,2,2018,12,0,25.0202272727
21,2,2018,12,1,25.0225
21,2,2018,12,2,25.010952381
21,2,2018,12,3,25.0181818182
21,2,2018,12,4,25.0222727273
21,2,2018,12,5,25.0259090909
21,2,2018,12,6,25.0270454545
21,2,2018,12,7,25.0325
21,2,2018,12,8,25.0336363636
21,2,2018,12,9,25.0377777778
21,2,2018,12,10,25.0363636364
21,2,2018,12,11,25.051627907
21,2,2018,12,12,25.0468181818
21,2,2018,12,13,25.0488636364
21,2,2018,12,14,25.0579545455
21,2,2018,12,15,25.0609090909
21,2,2018,12,16,25.0604545455
21,2,2018,12,17,25.1065217391
21,2,2018,12,18,25.0826666667
21,2,2018,12,19,25.0848888889
21,2,2018,12,20,25.0895555556
21,2,2018,12,21,25.1109302326
21,2,2018,12,22,25.0904444444
21,2,2018,12,23,25.0972727273
21,2,2018,12,24,25.0984782609
21,2,2018,12,25,25.1002222222
21,2,2018,12,26,25.1028888889
21,2,2018,12,27,25.1047826087
21,2,2018,12,28,25.1247826087
21,2,2018,12,29,25.1286956522
21,2,2018,12,30,25.1136363636
21,2,2018,12,31,25.1061363636
21,2,2018,12,32,25.1513043478
21,2,2018,12,33,25.1529545455
21,2,2018,12,34,25.1225581395
21,2,2018,12,35,25.1181818182
21,2,2018,12,36,25.121627907
21,2,2018,12,37,25.1204651163
21,2,2018,12,38,25.1202325581
21,2,2018,12,39,25.135952381
21,2,2018,12,40,25.1551162791
21,2,2018,12,41,25.1527906977
21,2,2018,12,42,25.1436363636
21,2,2018,12,43,25.1572093023
21,2,2018,12,44,25.1574418605
21,2,2018,12,45,25.1490909091
21,2,2018,12,46,25.1390909091
21,2,2018,12,47,25.1453333333
21,2,2018,12,48,25.1351111111
21,2,2018,12,49,25.143255814
21,2,2018,12,50,25.1371111111
21,2,2018,12,51,25.1363636364
21,2,2018,12,52,25.1511627907
21,2,2018,12,53,25.1375
21,2,2018,12,54,25.1409090909
21,2,2018,12,55,25.1429545455
21,2,2018,12,56,25.1935294118
21,2,2018,12,57,25.1402222222
21,2,2018,12,58,25.1382222222
21,2,2018,12,59,25.136
21,2,2018,13,0,25.1346666667
21,2,2018,13,1,25.1344444444
21,2,2018,13,2,25.1265909091
21,2,2018,13,3,25.1244444444
21,2,2018,13,4,25.1246666667
21,2,2018,13,5,25.1244444444
21,2,2018,13,6,25.1235555556
21,2,2018,13,7,25.1186666667
21,2,2018,13,8,25.1186666667
21,2,2018,13,9,25.1122222222
21,2,2018,13,10,25.0951111111
21,2,2018,13,11,25.1091111111
21,2,2018,13,12,25.1143181818
21,2,2018,13,13,25.1026666667
21,2,2018,13,14,25.096
21,2,2018,13,15,25.0827272727
21,2,2018,13,16,25.0833333333
21,2,2018,13,17,25.0813043478
21,2,2018,13,18,25.0737777778
21,2,2018,13,19,25.0631111111
21,2,2018,13,20,25.0462790698
21,2,2018,13,21,25.0639130435
21,2,2018,13,22,25.0564444444
21,2,2018,13,23,25.0472727273
21,2,2018,13,24,25.063255814
21,2,2018,13,25,25.0586046512
21,2,2018,13,26,25.0574418605
21,2,2018,13,27,25.0509302326
21,2,2018,13,28,25.0368181818
21,2,2018,13,29,25.0458139535
21,2,2018,13,30,25.0353488372
21,2,2018,13,31,25.0252272727
21,2,2018,13,32,25.0044186047
21,2,2018,13,33,25.0286046512
21,2,2018,13,34,25.0162222222
21,2,2018,13,35,24.9972093023
21,2,2018,13,36,25.0288636364
21,2,2018,13,37,25.0343181818
21,2,2018,13,38,25.0954545455
21,2,2018,13,39,25.0443181818
21,2,2018,13,40,25.0540909091
21,2,2018,13,41,25.0571111111
21,2,2018,13,42,25.0748888889
21,2,2018,13,43,25.0757777778
21,2,2018,13,44,25.09
21,2,2018,13,45,25.0928888889
21,2,2018,13,46,25.1088636364
21,2,2018,13,47,25.1206818182
21,2,2018,13,48,25.1291111111
21,2,2018,13,49,25.1365909091
21,2,2018,13,50,25.15
21,2,2018,13,51,25.1545454545
21,2,2018,13,52,25.1604545455
21,2,2018,13,53,25.1620454545
21,2,2018,13,54,25.1646666667
21,2,2018,13,55,25.1752272727
21,2,2018,13,56,25.1731111111
21,2,2018,13,57,25.1840909091
21,2,2018,13,58,25.1820930233
21,2,2018,13,59,25.1866666667
21,2,2018,14,0,25.1848888889
21,2,2018,14,1,25.19
21,2,2018,14,2,25.1917777778
21,2,2018,14,3,25.1954347826
21,2,2018,14,4,25.2072727273
21,2,2018,14,5,25.2131818182
21,2,2018,14,6,25.2063043478
21,2,2018,14,7,25.2055555556
21,2,2018,14,8,25.2125
21,2,2018,14,9,25.2066666667
21,2,2018,14,10,25.2144444444
21,2,2018,14,11,25.1913333333
21,2,2018,14,12,25.1886363636
21,2,2018,14,13,25.1836363636
21,2,2018,14,14,25.1679545455
21,2,2018,14,15,25.1386046512
21,2,2018,14,16,25.1347916667
21,2,2018,14,17,25.1727272727
21,2,2018,14,18,25.151
21,2,2018,14,19,25.1297777778
21,2,2018,14,20,25.1245454545
21,2,2018,14,21,25.1186956522
21,2,2018,14,22,25.1041304348
21,2,2018,14,23,25.0963636364
21,2,2018,14,24,25.1017391304
